Country,Website,Publisher Name,Twitter Handle,Twitter Followers,FB Handle,FB Followers,Instagram Handle,Instagram Followers,Youtube Handle,Youtube Subscribers,Logo Image,Primary Colour,Secondary Colour,Language
Nigeria,tribuneonlineng.com,Nigerian Tribune,@nigeriantribune,422K,@nigeriantribune,"1,028,282",@tribuneonline,128K,@tribuneonline,12.2K,https://pbs.twimg.com/profile_images/1090243888001007616/alBSkHXX_400x400.jpg,#ee1b24,#ffffff,English
Nigeria,thenationonlineng.net,The Nation Nigeria,@TheNationNews,1.4M,@TheNationNews,"1,852,555",@TheNationNews,30.4K,NaN,NaN,https://pbs.twimg.com/profile_images/1102946027080949761/QGa4_gxB_400x400.png,#1f9651,#ffffff,English
Nigeria,dailypost.ng,Daily Post Nigeria,@DailyPostNGR,1.2M,@DailyPostNGR,"1,082,786",NaN,NaN,@DailyPostNigeria,52,https://pbs.twimg.com/profile_images/1320328989441929217/Qgpzb-0-_400x400.jpg,#f50e0e,#ffffff,English
Nigeria,leadership.ng,Leadership Newspaper,@LeadershipNGA,907.6K,@LeadershipNGA,"1,289,799",@LeadershipNGA,11K,@LeadershipNGA,214,https://pbs.twimg.com/profile_images/1271402886/leadership_social_400x400.jpg,#ee1d24,#ffffff,English
Nigeria,businessday.ng,BusinessDay,@BusinessDayNg,66.3K,@BusinessDayNg,"39,705",@BusinessDayNg,61.3K,@BusinessDayNg,4.15k,https://pbs.twimg.com/profile_images/1111258633881509888/wA4p5Pb-_200x200.jpg,#f50000,#ffffff,English
Nigeria,independent.ng,Independent Nigeria,@IndependentNGR,33.5K,@IndependentNGR,"852,431",@IndependentNGR,"2,940",@IndependentNGR,7K,https://pbs.twimg.com/profile_images/968831466422534145/V7l9Lta7_200x200.jpg,#0674a7,#ffffff,English
Nigeria,pmnewsnigeria.com,P.M. News,@pmnewsnigeria,588.7K,@pmnewsnigeria,"23,947",@pmnewsnigeria,15.1K,NaN,NaN,https://pbs.twimg.com/profile_images/876912811/PM-News-logo_200x200.png,#da251c,#ffffff,English
Nigeria,completesports.com,Complete Sports,@CompleteSports,68.5K,@CompleteSports,"444,063",@CompleteSports,41K,@CompleteSports,1.74K,https://pbs.twimg.com/profile_images/907928586887331840/J-csL00i_200x200.jpg,#EC3237,#ffffff,English
Nigeria,sunnewsonline.com,The Sun Nigeria,@thesunnigeria,"3,384",@thesunnigeria,"919,921",@thesunnigeria,15.1K,@thesunnigeria,2.05K,https://pbs.twimg.com/profile_images/1175095020917071873/OF37mRGi_400x400.jpg,#FF0000,#ffffff,English
Nigeria,dailytimes.ng,Daily Times Nigeria,@DailyTimesNGR,57.7K,@DailyTimesNGR,"674,012",@DailyTimesNGR,59K,NaN,NaN,https://pbs.twimg.com/profile_images/970883295398514688/hpa_PXjq_200x200.jpg,#540808,#ffffff,English
Nigeria,techcabal.com,TechCabal,@TechCabal,51.6K,@TechCabal,"39,067",@TechCabal,"7,190",@TechCabal,753,https://pbs.twimg.com/profile_images/1113175786230607872/KWeIvYsZ_400x400.jpg,#F23204,#ffffff,English
Nigeria,techpoint.africa,Techpoint Africa,@Techpointdotng,33K,@Techpointdotng,"44,975",@Techpointdotng,19.5K,@Techpointdotng,"2,19K",https://pbs.twimg.com/profile_images/537581180422344704/Qz24HxBl_400x400.png,#277CA8,#ffffff,English
Nigeria,stearsng.com,Stears Business,@StearsBusiness,53.3K,@StearsBusiness,"19,887",@StearsBusiness,"2,906",NaN,NaN,https://pbs.twimg.com/profile_images/1023235034206089217/AX4Kd0Kn_200x200.jpg,#F05042,#ffffff,English
Nigeria,dailytrust.com,Daily Trust,@daily_trust,1.5M,@daily_trust,"1,348,422",@daily_trust,418K,@daily_trust,NaN,https://pbs.twimg.com/profile_images/1199017454414041089/yZc46IrW_200x200.jpg,#000000,#ffffff,English
Nigeria,laughtercourt.com,Laughter Court,@LaughterCourt,573,@LaughterCourt,423,@LaughterCourt,135K,@LaughterCourt,224,https://pbs.twimg.com/profile_images/1289335938661982208/mLdFzVXB_400x400.jpg,#D91E1E,#ffffff,English
Nigeria,travisnews.net,Travis Media,@travismedia_,73,@travismedia_,504,@travismedia_,150,NaN,NaN,https://pbs.twimg.com/profile_images/1258683293693808640/FpEEbeUt_400x400.jpg,#FE0202,#ffffff,English
Nigeria,rootstv.ng,RootsTV,@rootstvnigeria,"5,193",@rootstvnigeria,"356,726",@rootstvnigeria,17.8K,@rootstvnigeria,34K,https://pbs.twimg.com/profile_images/1125421929991634944/AfbTjK_Q_200x200.png,#FF7344,#ffffff,English
Nigeria,newsdigest.ng,News Digest Nigeria,@NewsDigestNG,11.3K,@NewsDigestNG,"27,182",@NewsDigestNG,549,NaN,NaN,https://pbs.twimg.com/profile_images/1011215002311823360/xIPSooxD_400x400.jpg,#C5221E,#ffffff,English
Nigeria,thewhistler.ng,The Whistler Nigeria,@TheWhistlerNG,28.2K,@TheWhistlerNG,"203,124",@TheWhistlerNG,510,NaN,NaN,https://pbs.twimg.com/profile_images/1258574387923562496/W3zw1YsW_400x400.jpg,#000000,#ffffff,English
Nigeria,lindaikejisblog.com,Linda Ikeji,@lindaikeji,1.8M,@lindaikeji,"37,453",@lindaikeji,732K,@lindaikeji,59.7K,https://pbs.twimg.com/profile_images/1163117870236209158/U3H91ceo_400x400.jpg,#941631,#ffffff,English
Nigeria,bellanaija.com,BellaNaija,@bellanaija,1.7M,@bellanaija,"762,435",@bellanaija,1.5M,@bellanaija,16.4K,https://pbs.twimg.com/profile_images/1322817248227188736/71ai1ZST_400x400.jpg,#000000,#ffffff,English
Nigeria,tori.ng,Tori News NG,@Tori_Nigeria,"2,111",@Tori_Nigeria,"102,532",@tori.ng,752,NaN,NaN,https://pbs.twimg.com/profile_images/1212201577295032320/UiTmaOgk_400x400.jpg,#B74C4E,#ffffff,English
Nigeria,legit.ng,Legit,@legitngnews,747.8K,@legitngnews,"4,659,644",@legitngnews,297K,@legitngnews,181K,https://pbs.twimg.com/profile_images/1052557821030612993/gOLVfqoN_200x200.jpg,#02B290,#ffffff,English
Nigeria,naijapals.com,Naijapals Gistmania,@Naijapals,144.2K,@Naijapals,406,NaN,NaN,@Naijapals,5.98K,https://pbs.twimg.com/profile_images/950732204069543936/wEDncsTU_400x400.jpg,#003300,#ffffff,English
Kenya,kenyainsights.com,Kenya Insights,@KenyaInsights,"7,594",@KenyaInsights,"24,637",@KenyaInsights,64,@Kenya_Insights,10,https://pbs.twimg.com/profile_images/738256716308058116/MLdy9zT-_400x400.jpg,#000000,#ffffff,English
Kenya,standardmedia.co.ke,The Standard Digital,@StandardKenya,1.4M,@StandardKenya,"3,527,663",@StandardKenya,97.3K,NaN,NaN,https://pbs.twimg.com/profile_images/458516690435715072/zGEfBbUv_400x400.png,#EE3124,#ffffff,English
Kenya,bdafrica.com,Business Daily,@BD_Africa,817.2K,@BD_Africa,"101,307",@BD_Africa,"3,891",@BD_Africa,10.7K,https://pbs.twimg.com/profile_images/837631741628149760/Aisp31tK_200x200.jpg,#AA8C73,#ffffff,English
Kenya,theeastafrican.co.ke,The EastAfrica,@The_EastAfrican,293.5K,@The_EastAfrican,"35,359",@The_EastAfrican,628,NaN,NaN,https://pbs.twimg.com/profile_images/1236033968832643072/B1KxDn_U_200x200.jpg,#275CAB,#ffffff,English
Kenya,https://nation.africa/kenya,Nation Breaking News,@NationBreaking,1.1M,@NationBreaking,"2,935,719",NaN,NaN,NaN,NaN,https://pbs.twimg.com/profile_images/1299964877474332673/Kboq5sTw_400x400.jpg,#FFB600,#ffffff,English
Kenya,https://www.pulselive.co.ke/,Pulse Live Kenya,@pulselivekenya,24.1K,@pulselivekenya,"1,610,677",@pulselivekenya,199K,@pulselivekenya,62.6K,https://pbs.twimg.com/profile_images/998871187332583424/B6y9AQ2G_400x400.jpg,#AB2923,#ffffff,English
Kenya,https://newssummedup.com/,News SummedUp Kenya,@summedupkenya,327,@summedupkenya,668,NaN,NaN,NaN,NaN,https://pbs.twimg.com/profile_images/742664722734927872/jhFht9g4_200x200.jpg,#BB1919,#ffffff,English
Kenya,https://citizentv.co.ke/,Citizen TV Kenya,@citizentvkenya,2.8M,@citizentvkenya,"4,763,416",@citizentvkenya,1.3M,@citizentvkenya,2.22M,https://pbs.twimg.com/profile_images/872454681381011456/UnqCZ8aS_200x200.jpg,#F58320,#ffffff,English
Kenya,https://news.theonlinekenyan.com/,Breaking News,@News_Kenya,21.5K,@News_Kenya,"1,147",NaN,NaN,NaN,NaN,https://pbs.twimg.com/profile_images/506858708819668992/5_k94GRn_200x200.png,#3F51B5,#ffffff,English
Kenya,http://www.nairobinews.co.ke/,Nairobi News,@Nairobi_News,318.6K,@Nairobi_News,"832,459",@Nairobi_News,50,NaN,NaN,https://pbs.twimg.com/profile_images/1310674898122092544/hWl0Q0ZI_400x400.png,#EC1846,#ffffff,English
Kenya,https://litkenya.com/,Lit Kenya News,@litkenyanews,540,@litkenyanews,"2,315",@litkenyanews,15,NaN,NaN,https://pbs.twimg.com/profile_images/1230782359718502402/Q36Ee2z0_400x400.jpg,#052962,#ffffff,English
Kenya,http://www.mwakilishi.com/,Mwakilishi,@mwakilishi,"3,388",@mwakilishi,"38,447",@mwakilishi,2202,@mwakilishi,NaN,https://pbs.twimg.com/profile_images/2404384421/c3x60ffre7g4ftd5nva2_400x400.png,#C61114,#ffffff,English
